Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
BHP,,,4100.0,8.0,4100.0,3556,58.0,3270.0,495,3000.0,3.0,3890.0,1868,4.0,2900.0,325,1500.0,,,0,,,0,3500.0,97.0,3390.0,12573,58.0,2800.0,1758,3700.0,53.0,3700.0,138,,,0,3010.0,4.0,3990.0,1234,7.0,3010.0,192
BID,,,109000.0,14.0,80000.0,147,,,0,3000.0,10.0,100000.0,20,,,0,24534.48046875,,,0,,,0,100000.0,6.0,100000.0,26,,,0,24534.48046875,,,0,,,0,24534.48046875,10.0,100000.0,10,,,0
BL,,,8500.0,130.0,9500.0,602,30.0,7500.0,130,8500.0,179.0,8500.0,290,100.0,7500.0,200,4500.0,,,0,,,0,8000.0,10.0,8000.0,253,18.0,7000.0,342,2975.580078125,,,0,,,0,8000.0,3.0,8900.0,53,53.0,5500.0,53
BLE,,,2300.0,44.0,2290.0,2561,116.0,1700.0,702,2100.0,256.0,2100.0,2659,100.0,1000.0,100,1800.1600341796875,,,0,,,0,2400.0,6.0,2290.0,1557,200.0,1800.0,400,1800.1600341796875,,,0,,,0,300.0,330.0,2300.0,975,46.0,300.0,46
BMF,,,30000.0,113.0,30000.0,433,20.0,27000.0,309,32000.0,4.0,32000.0,66,1.0,28000.0,1,10932.1796875,,,0,5.0,22000.0,5,29000.0,4.0,29000.0,465,10.0,27000.0,155,10932.1796875,1.0,31000.0,1,,,0,31000.0,1.0,31000.0,108,47.0,25000.0,57
BND,,,225.0,300.0,150.0,4782,,,0,300.0,200.0,325.0,200,,,0,269.8999938964844,,,0,,,0,225.0,886.0,225.0,886,371.0,200.0,381,500.0,,,0,,,0,190.0,,,0,,,0
BOR,,,449.7099914550781,6310.0,450.0,26084,200.0,317.0,7795,618.0,38.0,618.0,5247,100.0,330.0,150,300.0,,,0,300.0,225.0,300,550.0,123.0,550.0,28735,236.0,360.0,2087,75.0,10.0,550.0,10,50.0,130.0,250,301.0,,,0,482.0,301.0,782
BOS,,,5213.75,658.0,5340.0,658,60.0,3270.0,602,4875.0,12.0,4800.0,40,,,0,3250.0,,,0,,,0,4990.0,58.0,4990.0,1029,270.0,3810.0,1020,1907.8199462890625,,,0,,,0,2910.0,191.0,5000.0,191,,,0
BPT,,,4000.0,6.0,17000.0,6,,,0,8000.0,,,0,,,0,2205.449951171875,,,0,,,0,4800.0,180.0,8000.0,2169,,,0,2205.449951171875,,,0,,,0,8000.0,,,0,,,0
BR1,,,940000.0,1.0,940000.0,18,1.0,750000.0,6,600000.0,1.0,790000.0,13,1.0,500000.0,1,1300000.0,,,0,,,0,800000.0,2.0,800000.0,12,1.0,500000.0,1,252956.640625,,,0,,,0,900000.0,3.0,950000.0,11,1.0,450000.0,2
BR2,,,899000.0,2.0,899000.0,8,,,0,949000.0,2.0,949000.0,6,1.0,900000.0,1,1300000.0,,,0,,,0,899000.0,1.0,899000.0,8,,,0,339977.96875,,,0,,,0,900000.0,2.0,900000.0,6,,,0
BRM,,,200.0,500.0,200.0,8548,206.0,171.0,1577,163.1199951171875,128.0,389.0,9949,,,0,270.0,3165.0,200.0,16907,1000.0,91.0,1000,248.0,3000.0,250.0,21076,3704.0,166.0,34240,200.0,87.0,250.0,287,,,0,189.3500061035156,273.0,180.0,4284,100.0,168.0,100
BRO,,,2530.0,86.0,2530.0,2974,96.0,2060.0,484,3500.0,89.0,3500.0,89,100.0,2400.0,145,829.989990234375,7.0,2500.0,7,,,0,1900.0,163.0,2350.0,1898,336.0,1900.0,841,829.989990234375,,,0,,,0,2740.0,2.0,2740.0,698,9.0,1000.0,9
BRP,,,5000.0,72.0,5990.0,96,30.0,4000.0,30,6000.0,5.0,6000.0,5,,,0,2656.760009765625,,,0,,,0,5500.0,240.0,5200.0,244,,,0,2656.760009765625,,,0,,,0,2656.760009765625,,,0,,,0
BRS,,,600000.0,,,0,4.0,200000.0,4,420000.0,1.0,1000000.0,1,1.0,200000.0,3,126513.0703125,,,0,,,0,420000.0,1.0,420000.0,1,1.0,150000.0,1,126513.0703125,,,0,,,0,450000.0,,,0,,,0
BSC,,,54171.01953125,24.0,54000.0,64,30.0,47000.0,96,50000.0,32.0,150000.0,32,20.0,40000.0,25,14471.7197265625,,,0,,,0,50000.0,98.0,52000.0,98,12.0,50000.0,12,14471.7197265625,1.0,52000.0,1,,,0,50000.0,40.0,55000.0,40,,,0
