Ticker,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
CAP,AI1,electronic pieces,3.0,371.0,250.0,4362.0,704.0,475.0,200.0,0.0,371.0,250.0,0,0,0.0,High,Unknown,249.39466668148833,3740.920000222325,389.67916668982554,CLR:1xFE-1xSI=>15xCAP,CLR
CBL,AI1,energy systems,3.0,92000.0,91000.0,30.0,100.0,20.0,30.0,0.0,92000.0,91000.0,0,0,0.0,Low,Unknown,95470.92000022232,95470.92000022232,7955.910000018527,ECA:12xBE-60xHCC-12xLI-150xPG=>1xCBL,ECA
CBM,AI1,energy systems,3.0,72000.0,65000.0,50.0,130.0,50.0,38.46,0.0,72000.0,65000.0,0,0,0.0,Low,Unknown,61408.73600017786,61408.73600017786,6396.74333335186,ECA:8xBE-40xBGC-8xLI-120xPG=>1xCBM,ECA
CBS,AI1,energy systems,3.0,44000.0,42100.0,53.0,116.0,18.0,45.69,0.0,44000.0,42100.0,0,0,0.0,Low,Unknown,39046.55200013339,39046.55200013339,5423.132222240749,ECA:20xBCO-6xBE-6xLI-60xPG=>1xCBS,ECA
CBU,AI1,consumable bundles,2.0,390000.0,350000.0,75.0,10.0,22.0,200.0,0.0,390000.0,350000.0,0,0,0.0,Medium,Unknown,403269.7399466524,403269.7399466524,56009.686103701715,PAC:100xDW-2xLC-70xMEA-5xMED-1xNST-280xPE-8xPSS-10xWIN-1xWS=>1xCBU,PAC
CC,AI1,electronic systems,5.0,2000000.0,650000.0,1.0,100.0,1.0,1.0,0.0,2000000.0,650000.0,0,0,0.0,High,Unknown,734537.7600192546,734537.7600192546,12752.391667000948,AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,AAF
CCD,AI1,drones,4.0,80200.0,80100.0,70.0,222.0,50.0,31.53,0.0,80200.0,80100.0,0,0,0.0,Low,Unknown,83045.6000020057,83045.6000020057,6920.466666833808,DRS:1xBSC-1xDCH=>1xCCD,DRS
CD,AI1,electronic parts,3.0,25000.0,10000.0,32.0,48.0,2.0,66.67,0.0,25000.0,10000.0,0,0,0.0,High,Unknown,16830.634001257957,16830.634001257957,1046.681218983704,ELP:2xBCO-1xDIS=>1xCD,ELP
CF,AI1,textiles,1.0,7490.0,6500.0,1576.0,234.0,9.0,200.0,0.0,7490.0,6500.0,0,0,0.0,Medium,Unknown,6777.600003245473,6777.600003245473,706.0000003380701,SME:4xAL-2xO-1xSI=>1xCF,SME
CHA,AI1,ship engines,1.0,0.0,30000.0,0.0,37.0,0.0,0.0,0.0,0.0,30000.0,0,0,0.0,Low,Unknown,51858.635000305105,51858.635000305105,4801.725462991213,WEL:10xBOS-1xGV-1xHE=>1xCHA,WEL
CL,AI1,elements,2.0,4300.0,3800.0,17056.0,7531.0,56.0,200.0,0.0,4300.0,3800.0,0,0,0.0,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
COF,AI1,consumables (luxury),1.0,890.0,812.0,44365.0,11360.0,267.0,200.0,0.0,890.0,812.0,0,0,0.0,Low,Unknown,642.1600000387431,1926.4800001162293,267.56666668280957,FP:1xCAF-3xDW=>3xCOF,FP
COM,AI1,electronic systems,4.0,120000.0,101000.0,128.0,18.0,5.0,200.0,0.0,120000.0,101000.0,0,0,0.0,Medium,Unknown,111068.40000300854,111068.40000300854,6170.466666833808,APF:1xAAR-1xBWS-4xRAD=>1xCOM,APF
