Ticker,Product,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Timestamp,Recommendation,Price_Spread
CTF,,AI1,textiles,4.0,19000.0,18500.0,345.0,72.0,143.0,0.0,0.0,19000.0,18500.0,0,0,34.5,Low,Poor,2025-08-28 18:18:54,Avoid,500.0
CU,,AI1,metals,1.0,2470.0,2000.0,12634.0,5419.0,9.0,0.0,0.0,2470.0,2000.0,0,0,100.0,Medium,Poor,2025-08-28 18:18:54,Avoid,470.0
CUO,,AI1,ores,0.0,900.0,425.0,8694.0,4418.0,282.0,0.0,0.0,900.0,425.0,0,0,100.0,High,Poor,2025-08-28 18:18:54,Avoid,475.0
DA,,AI1,software tools,4.0,45000.0,37000.0,220.0,122.0,10.0,0.0,0.0,45000.0,37000.0,0,0,22.0,Medium,Poor,2025-08-28 18:18:54,Avoid,8000.0
DCH,,AI1,drones,4.0,24000.0,23000.0,30.0,190.0,10.0,0.0,0.0,24000.0,23000.0,0,0,3.0,Low,Poor,2025-08-28 18:18:54,Avoid,1000.0
DCL,,AI1,plastics,2.0,5990.0,5500.0,785.0,788.0,96.0,0.0,0.0,5990.0,5500.0,0,0,78.5,Low,Poor,2025-08-28 18:18:54,Avoid,490.0
DCM,,AI1,plastics,2.0,4280.0,4100.0,616.0,801.0,56.0,0.0,0.0,4280.0,4100.0,0,0,61.6,Low,Poor,2025-08-28 18:18:54,Avoid,180.0
DCS,,AI1,plastics,2.0,1800.0,1700.0,183.0,1836.0,98.0,0.0,0.0,1800.0,1700.0,0,0,18.3,Low,Poor,2025-08-28 18:18:54,Avoid,100.0
DD,,AI1,software tools,4.0,40000.0,36000.0,16.0,7.0,1.0,0.0,0.0,40000.0,36000.0,0,0,1.6,Low,Poor,2025-08-28 18:18:54,Avoid,4000.0
DDT,,AI1,chemicals,3.0,2600.0,370.0,12704.0,10.0,602.0,0.0,0.0,2600.0,370.0,0,0,100.0,High,Poor,2025-08-28 18:18:54,Avoid,2230.0
DEC,,AI1,construction parts,2.0,31900.0,15000.0,956.0,120.0,200.0,0.0,0.0,31900.0,15000.0,0,0,95.60000000000001,High,Poor,2025-08-28 18:18:54,Avoid,16900.0
DIS,,AI1,electronic parts,3.0,5700.0,0.0,383.0,0.0,135.0,0.0,0.0,5700.0,0.0,0,0,38.300000000000004,High,Poor,2025-08-28 18:18:54,Avoid,5700.0
DOU,,AI1,unit prefabs,2.0,449000.0,0.0,5.0,0.0,3.0,0.0,0.0,449000.0,0.0,0,0,0.5,High,Poor,2025-08-28 18:18:54,Avoid,449000.0
DRF,,AI1,drones,4.0,5200.0,5010.0,607.0,982.0,98.0,0.0,0.0,5200.0,5010.0,0,0,60.7,Low,Poor,2025-08-28 18:18:54,Avoid,190.0
DV,,AI1,software tools,4.0,20000.0,15000.0,12.0,1.0,1.0,0.0,0.0,20000.0,15000.0,0,0,1.2000000000000002,High,Poor,2025-08-28 18:18:54,Avoid,5000.0
DW,,AI1,consumables (basic),1.0,105.0,103.0,371238.0,61362.0,9808.0,0.0,0.0,105.0,103.0,0,0,100.0,Low,Poor,2025-08-28 18:18:54,Avoid,2.0
